"","action","x1","x2","y1","y2","z1","z2"
"1","on",30,41,-12,39,-10,42
"2","on",21,29,-12,39,-10,42
"3","on",18,20,-11,39,-10,42
"4","on",18,20,-12,-12,-7,42
"5","on",1,6,-1,39,-10,42
"6","on",7,16,-1,39,-10,42
"7","on",17,17,-1,39,-10,42
"8","on",1,6,-12,-2,-10,42
"9","on",7,16,-11,-2,-10,42
"10","on",7,16,-12,-12,-7,42
"11","on",17,17,-11,-2,-10,42
"12","on",17,17,-12,-12,-7,42
"13","on",-6,0,-12,34,-10,42
"14","on",-6,0,35,39,-10,5
"15","on",-6,0,35,39,16,42
"16","on",-33,-26,-34,15,3,47
"17","on",-25,-14,-31,15,3,47
"18","on",-25,-14,-34,-32,3,47
"19","on",-11,-7,-34,15,3,47
"20","on",-13,-12,-31,15,3,47
"21","on",-13,-12,-34,-32,3,47
"22","on",1,6,-34,-14,3,47
"23","on",7,13,-34,-27,3,47
"24","on",7,13,-26,-14,3,47
"25","on",1,6,-13,-13,3,47
"26","on",7,13,-13,-13,3,47
"27","on",-6,0,-34,-13,3,47
"28","on",1,6,-1,15,43,47
"29","on",7,13,-1,15,43,47
"30","on",1,6,-12,-2,43,47
"31","on",7,13,-11,-2,43,47
"32","on",7,13,-12,-12,43,47
"33","on",-6,0,-12,15,43,47
"34","on",42,47,-7,38,-23,28
"35","on",30,41,-7,38,-23,-11
"36","on",21,29,-7,38,-23,-11
"37","on",18,20,-7,38,-23,-11
"38","on",1,6,-1,38,-23,-11
"39","on",7,16,-1,38,-23,-11
"40","on",17,17,-1,38,-23,-11
"41","on",1,6,-7,-2,-23,-11
"42","on",7,16,-7,-2,-23,-11
"43","on",17,17,-7,-2,-23,-11
"44","on",-6,0,-7,34,-23,-11
"45","on",-6,0,35,38,-23,-11
"46","on",-10,-7,16,34,-11,38
"47","on",-10,-7,35,43,-11,5
"48","on",-10,-7,35,43,16,38
"49","on",-10,-7,-3,15,-11,2
"50","on",30,37,40,43,-11,38
"51","on",21,29,40,43,-11,38
"52","on",18,20,40,43,-11,38
"53","on",1,6,40,43,-11,38
"54","on",7,16,40,43,-11,38
"55","on",17,17,40,43,-11,38
"56","on",-6,0,40,43,-11,5
"57","on",-6,0,40,43,16,38
"58","on",30,37,39,39,-11,-11
"59","on",21,29,39,39,-11,-11
"60","on",18,20,39,39,-11,-11
"61","on",1,6,39,39,-11,-11
"62","on",7,16,39,39,-11,-11
"63","on",17,17,39,39,-11,-11
"64","on",-6,0,39,39,-11,-11
"65","on",-42,-34,-39,9,-29,22
"66","on",-33,-26,-39,-35,-29,22
"67","on",-25,-14,-39,-35,-29,-20
"68","on",-25,-14,-39,-35,1,22
"69","on",-11,-11,-39,-35,-29,22
"70","on",-13,-12,-39,-35,-29,-20
"71","on",-13,-12,-39,-35,1,22
"72","on",-10,-7,-39,-35,-29,22
"73","on",-33,-26,-34,9,-29,2
"74","on",-25,-14,-31,9,-29,2
"75","on",-25,-14,-34,-32,-29,-20
"76","on",-25,-14,-34,-32,1,2
"77","on",-11,-11,-34,9,-29,2
"78","on",-13,-12,-31,9,-29,2
"79","on",-13,-12,-34,-32,-29,-20
"80","on",-13,-12,-34,-32,1,2
"81","on",-10,-7,-34,-4,-29,2
"82","on",-10,-7,-3,9,-29,-12
"83","on",1,6,-39,-35,-29,22
"84","on",7,7,-39,-35,-29,22
"85","on",-6,0,-39,-35,-29,22
"86","on",1,6,-34,-14,-29,2
"87","on",7,7,-34,-27,-29,2
"88","on",7,7,-26,-14,-29,-27
"89","on",7,7,-26,-14,-7,2
"90","on",1,6,-13,-13,-29,2
"91","on",7,7,-13,-13,-29,-27
"92","on",7,7,-13,-13,-7,2
"93","on",-6,0,-34,-13,-29,2
"94","on",1,6,-12,-8,-29,-11
"95","on",7,7,-11,-8,-29,-11
"96","on",7,7,-12,-12,-29,-27
"97","on",-6,0,-12,-8,-29,-11
"98","on",1,6,-1,9,-29,-24
"99","on",7,7,-1,9,-29,-24
"100","on",1,6,-7,-2,-29,-24
"101","on",7,7,-7,-2,-29,-24
"102","on",-6,0,-7,9,-29,-24
"103","on",-11,-11,-36,-35,-34,-30
"104","on",-10,-7,-36,-35,-34,-30
"105","on",-11,-11,10,11,-34,2
"106","on",-11,-11,-34,9,-34,-30
"107","on",-10,-7,-34,-4,-34,-30
"108","on",-10,-7,10,11,-34,-12
"109","on",-10,-7,-3,9,-34,-30
"110","on",30,37,-36,-13,-34,12
"111","on",21,29,-29,-13,-34,12
"112","on",18,20,-29,-27,-34,12
"113","on",18,20,-26,-13,-34,-27
"114","on",18,20,-26,-13,-7,12
"115","on",21,29,-36,-30,-34,-16
"116","on",18,20,-36,-30,-34,-16
"117","on",21,29,-36,-30,5,12
"118","on",18,20,-36,-30,5,12
"119","on",14,16,-36,-27,-34,12
"120","on",14,16,-26,-14,-34,-27
"121","on",14,16,-26,-14,-7,12
"122","on",17,17,-29,-27,-34,12
"123","on",17,17,-26,-14,-34,-27
"124","on",17,17,-26,-14,-7,12
"125","on",17,17,-36,-30,-34,-16
"126","on",17,17,-36,-30,5,12
"127","on",14,16,-13,-13,-33,-27
"128","on",14,16,-13,-13,-7,12
"129","on",17,17,-13,-13,-33,-27
"130","on",17,17,-13,-13,-7,12
"131","on",8,13,-36,-35,-34,12
"132","on",1,6,-36,-35,-34,-30
"133","on",7,7,-36,-35,-34,-30
"134","on",-6,0,-36,-35,-34,-30
"135","on",8,13,-34,-27,-34,2
"136","on",8,13,-26,-14,-34,-27
"137","on",8,13,-26,-14,-7,2
"138","on",8,13,-13,-13,-33,-27
"139","on",8,13,-13,-13,-7,2
"140","on",1,6,-34,-14,-34,-30
"141","on",7,7,-34,-27,-34,-30
"142","on",7,7,-26,-14,-34,-30
"143","on",1,6,-13,-13,-33,-30
"144","on",7,7,-13,-13,-33,-30
"145","on",-6,0,-34,-13,-34,-30
"146","on",30,37,-12,-8,-34,-11
"147","on",21,29,-12,-8,-34,-11
"148","on",18,20,-11,-8,-34,-11
"149","on",18,20,-12,-12,-34,-27
"150","on",14,16,-11,-8,-33,-11
"151","on",14,16,-12,-12,-33,-27
"152","on",17,17,-11,-8,-33,-11
"153","on",17,17,-12,-12,-33,-27
"154","on",30,37,-7,11,-34,-24
"155","on",21,29,-7,11,-34,-24
"156","on",18,20,-7,11,-34,-24
"157","on",14,16,-1,11,-34,-24
"158","on",17,17,-1,11,-34,-24
"159","on",14,16,-7,-2,-33,-24
"160","on",17,17,-7,-2,-33,-24
"161","on",8,13,-11,-8,-33,-11
"162","on",8,13,-12,-12,-33,-27
"163","on",1,6,-12,-8,-33,-30
"164","on",7,7,-11,-8,-33,-30
"165","on",7,7,-12,-12,-33,-30
"166","on",-6,0,-12,-8,-34,-30
"167","on",8,13,-1,11,-34,-24
"168","on",8,13,-7,-2,-33,-24
"169","on",1,6,10,11,-34,-24
"170","on",7,7,10,11,-34,-24
"171","on",-6,0,10,11,-34,-24
"172","on",1,6,-1,9,-34,-30
"173","on",7,7,-1,9,-34,-30
"174","on",1,6,-7,-2,-33,-30
"175","on",7,7,-7,-2,-33,-30
"176","on",-6,0,-7,9,-34,-30
"177","on",-31,-26,16,40,1,49
"178","on",-25,-14,16,40,1,49
"179","on",-13,-12,16,34,1,49
"180","on",-13,-12,35,40,1,5
"181","on",-13,-12,35,40,16,49
"182","on",-11,-11,16,34,1,49
"183","on",-11,-11,35,40,1,5
"184","on",-11,-11,35,40,16,49
"185","on",-10,-7,16,34,39,49
"186","on",-10,-7,35,40,39,49
"187","on",-31,-26,10,15,1,2
"188","on",-25,-14,10,15,1,2
"189","on",-13,-12,10,15,1,2
"190","on",-11,-11,12,15,1,2
"191","on",-31,-26,10,15,48,49
"192","on",-25,-14,10,15,48,49
"193","on",-13,-12,10,15,48,49
"194","on",-11,-11,12,15,48,49
"195","on",-11,-11,10,11,48,49
"196","on",-31,-26,-12,9,48,49
"197","on",-25,-14,-12,9,48,49
"198","on",-13,-12,-12,9,48,49
"199","on",-11,-11,-12,9,48,49
"200","on",-10,-7,-12,-4,48,49
"201","on",-10,-7,-3,15,48,49
"202","on",1,6,40,40,39,49
"203","on",7,13,40,40,39,49
"204","on",-6,0,40,40,39,49
"205","on",1,6,16,39,43,49
"206","on",7,13,16,39,43,49
"207","on",-6,0,16,34,43,49
"208","on",-6,0,35,39,43,49
"209","on",1,6,-1,15,48,49
"210","on",7,13,-1,15,48,49
"211","on",1,6,-12,-2,48,49
"212","on",7,13,-11,-2,48,49
"213","on",7,13,-12,-12,48,49
"214","on",-6,0,-12,15,48,49
"215","on",-23,-14,41,44,-39,12
"216","on",-13,-12,41,44,-39,5
"217","on",-23,-14,16,40,-39,0
"218","on",-13,-12,16,34,-39,0
"219","on",-13,-12,35,40,-39,0
"220","on",-11,-11,41,44,-39,5
"221","on",-11,-11,16,34,-39,0
